Megan Abbott, American writer of crime fiction
Kareem Abdul-Jabbar, American basketball player
Leslie Abramson, criminal defense lawyer
Joel Achenbach, American journalist and author
José Eduardo Agualusa, journalist and writer
David Agus, physician
Ania Ahlborn, horror writer
Salman Ahmad, musician and actor
Fouad Ajami, professor
Fadhil Al Azzawi, Iraqi writer
Amani Al-Khatahtbeh, American author and tech entrepreneur
Manal al-Sharif, Saudi Arabian activist
Elisa Albert, American author
Naomi Alderman, author, novelist
Malin Alegria, author of young adult novels
Rochelle Alers, romance author
Eben Alexander, American neurosurgeon
Shana Alexander, American journalist
Henry Alford, American humorist
Miguel Algarín, Puerto Rican poet and writer
Monica Ali, Bangladeshi-born British writer and novelist
Muhammad Ali, American boxer and activist
Rosie Alison, British documentarian
Isabel Allende, Chilean writer
Kirstie Alley, American actress
Will Allison, American author
Sophie Allsopp, British television presenter
Hollis Alpert, American film critic
Jonathan Alter, American journalist
Akhil Reed Amar, American legal scholar
Marc Ambinder, American editor and journalist
David Ambrose, English novelist and screenwriter
Stephen E. Ambrose, American historian
Daniel Amen, American psychiatrist and self-help author
Jonathan Ames, American novelist, memoirist
Wally Amos, American author
Megan Amram, American comedian and writer
Lou Anders, American editor, author and journalist
Christopher Andersen, American journalist and author
Gillian Anderson, American-British actress, activist and writer
Laurie Halse Anderson, American children's writer
M.T. Anderson, American children's writer
Martin Anderson, American economist
Poul Anderson, American science fiction and fantasy author
R. J. Anderson, Canadian author of speculative and fantasy fiction for children and young adults
Sherwood Anderson, writer
Douglas L. Anderton, American sociologist
V. C. Andrews, American horror novelist
Carol Anshaw, American novelist
Stephen Ansolabehere, American political scientist
Anne Milano Appel, American translator of Italian literature
Benjamin Appel, American crime-fiction novelist
Jacob M. Appel, American novelist
Marty Appel, American public relations and sports management executive
Kathi Appelt, American children's author
Sam Apple, American non-fiction author
Matt Apuzzo, American journalist
Thomas Aquinas, Italian philosopher
John Archambault, American writer, storyteller
Gustavo Arellano, American publisher, editor and author
James Argent, English television personality
Sherry Argov, American writer
José Argüelles, American artist and author
Adrienne Arieff, businessman and writer
Dan Ariely, Israeli American professor of psychology and behavioral economics
Aristophanes, Athenian playwright
Aristotle, Classical Greek philosopher
Victoria Arlen, American paralympic swimmer
Jennifer L. Armentrout, American author of young adult novels
Heather Armstrong, American author and blogger
Jennifer Armstrong, children's book author
Kelley Armstrong, author of young adult novels
Lance Armstrong, American cyclist
Taylor Armstrong, American television personality
Edwin Arnold, British poet and journalist
Eric Arnold, American journalist and author
Matthew Arnold, English poet and social critic
Lou Aronica, publisher, editor of science fiction
Marc Aronson, American historian and writer
María Celeste Arrarás, Puerto Rican journalist
Guillermo Arriaga, Mexican screenwriter and film director
Raymond Arroyo, American journalist
Isabelle Arsenault, Canadian illustrator
Raymond Arsenault, American historian
W. Brian Arthur, economist
Jose Aruego, Filipino children's book author and illustrator
Sylvia Ashton-Warner, New Zealand writer
Frank Asch, American children's book author
Dolores Ashcroft-Nowicki, British occult author and psychic
Jay Asher, American author of young adult novels
Isaac Asimov, American science fiction writer
Pierce Askegren, American writer
Ed Asner American actor
St. Francis of Assisi, Catholic saint
John Jacob Astor, American businessman
Philip Athans, American writer
Mike Atherton, broadcaster and journalist
Robert C. Atkins, American cardiologist
William Walker Atkinson American author and pioneer of the New Thought movement
P. M. H. Atwater, American writer and researcher
Berthold Auerbach, German author
Paul Auerbach, American physician
Saint Augustine, early Christian theologian
Rachel Aukes, American writer
Michael Ausiello, American journalist
Jane Austen, English novelist
Isaiah Austin, American basketball player
Steve Austin, American actor and professional wrestler
Kenny Ausubel, social entrepreneur and author
Tony Auth, American cartoonist
John Avlon, American journalist
Alan Axelrod, American historian
Robert Axelrod, American political scientist
Russell Ayto
Eve Babitz, American author
Morena Baccarin, Brazilian American actress
David Bach, finance and investment speaker and author
James Marcus Bach, software tester and author
Richard Bach, American spiritual writer
Shelby Bach, American writer
Richard Bachman, pen name used by Stephen King
Paolo Bacigalupi, American science fiction and fantasy author
Fredrik Backman, Swedish writer
Francis Bacon, English philosopher, statesman and author
John U. Bacon, American non-fiction writer
Michael Baden, American pathologist
Gerry Badger, English writer, curator, and photographer
James Baen, American publisher and editor
Joan Baez, American singer
Zak Bagans, television personality
Walter Bagehot, British journalist, businessman and essayist
Brod Bagert, American children's book author
Julianna Baggott, American novelist, essayist and poet
Iris Bahr, Israeli American actress and author
Jim Baikie, British comics artist
Alice A. Bailey, British-American author
Beth Bailey, American historian
Frank Bailey, American political writer
Peter Bailey, American journalist
Robin Wayne Bailey, American speculative fiction author
Ronald Bailey, American libertarian science writer
Deirdre Bair, American biographer
Sheila Baire, former Chairman of the FDIC (Federal Deposit Insurance Corporation)
Calvin Baker, American novelist
Carlos Baker, American writer and academic
Mishell Baker, American writer of urban fantasy
Nicholson Baker, American novelist, essayist, and non-fiction writer
Peter Baker, American political writer
Robert T. Bakker, American paleontologist
Kurdo Baksi, Swedish writer and journalist
David Baldacci. American author
Letitia Baldrige, American etiquette expert
Alec Baldwin, American actor
David Baldwin, British historian
James Baldwin, American writer
Stephen Baldwin, American actor
Edward Ball, American history writer
R. M. Ballantyne, Scottish author of juvenile fiction
Tony Ballantyne, British science fiction writer
Chris Ballard, American sportswriter
J. G. Ballard, British writer
Liz Balmaseda, Cuban-American writer and journalist
Honore Balzac, French writer
Toni Cade Bambara, Author activist
Michael Bamberger, Sports writer
Sarah Ban Breathnach, Author philanthropist
Jim Bandrowski, writer and speaker
Edward C. Banfield, American political scientist
Molly Bang, American illustrator of children's books
John Kendrick Bangs, American author and satirist
