Karen White
Mohsin Hamid
Amanda Quick
Zadie Smith
Patrick Radden Keefe
Edwidge Danticat
Margaret Atwood
Nick Hornby
Toni Morrison
Candace Fleming
Philip Pullman
Roald Dahl
John Green
Jane Smiley
Lawrence Wright
Nadia Murad
Leo Lionii
Ellen Raskin
Nate Blakeslee
Jodi Picoult
Matthew Desmond
Hope Jahren
Jim Butcher
Colin Jost
Debbie Macomber
Katya
Hank Green
Jim Carrey
Colson Whitehead
J. Courtney Sullivan
Eddie S. Glaude Jr.
Slivia Moreno-Garcia
Kevin Kwan
Maria Konnikova
Jasmine Guillory
Robert M. Gates
Max Brooks
Ibram X. Kendi
Danielle Steel
Mike Maden
Emily Giffin
Karn M. McManus
Stephanie Scott
Eddie S. Glaude Jr.
Ruta Sepetys
Aimee Bender
Ron Rash
Shari Lapena
Maggie O'Farrell
Maria Romasco-Moore
Karen Dionne
Rhys Bowen
R. Eric Thomas
Fiona Davis
Jessica Goodman
Nicholson Baker
Isabel Wilkerson
Kim Johnson
Riley Sager
Lisa Gardner
