"Across the Universe",1969
"Act Naturally",1965
"All I've Got to Do",1963
"All My Loving",1963
"All Together Now",1969
"All You Need Is Love",1967
"And I Love Her",1964
"And Your Bird Can Sing",1966
"Anna (Go to Him)",1963
"Another Girl",1965
"Any Time at All",1964
"Ask Me Why",1963
"Baby It's You",1963
"Baby, You're a Rich Man",1967
"Baby's in Black",1964
"Back in the U.S.S.R.",1968
"Bad Boy",1966
"The Ballad of John and Yoko",1969
"Because",1969
"Being for the Benefit of Mr. Kite!",1967
"Birthday",1968
"Blackbird",1968
"Blue Jay Way",1967
"Boys",1963
"Can't Buy Me Love",1964
"Carry That Weight",1969
"Chains",1963
"Come Together",1969
"The Continuing Story of Bungalow Bill",1968
"Cry Baby Cry",1968
"A Day in the Life",1967
"Day Tripper",1965
"Dear Prudence",1968
"Devil in Her Heart",1963
"Dig a Pony",1970
"Dig It",1970
"Dizzy, Miss Lizzy",1965
"Do You Want to Know a Secret",1963
"Doctor Robert",1966
"Don't Bother Me",1963
"Don't Let Me Down",1969
"Don't Pass Me By",1968
"Drive My Car",1965
"Eight Days a Week",1964
"Eleanor Rigby",1966
"The End",1969
"Every Little Thing",1964
"Everybody's Got Something to Hide Except Me and My Monkey",1968
"Everybody's Trying to Be My Baby",1964
"Fixing a Hole",1967
"Flying",1967
"The Fool on the Hill",1967
"For No One",1966
"For You Blue",1970
"From Me to You",1963
"Get Back",1969
"Getting Better",1967
"Girl",1965
"Glass Onion",1968
"Golden Slumbers",1969
"Good Day Sunshine",1966
"Good Morning Good Morning",1967
"Good Night",1968
"Got to Get You into My Life",1966
"Happiness Is a Warm Gun",1968
"A Hard Day's Night",1964
"Hello, Goodbye",1967
"Help!",1965
"Helter Skelter",1968
"Her Majesty",1969
"Here Comes the Sun",1969
"Here, There and Everywhere",1966
"Hey Bulldog",1969
"Hey Jude",1968
"Hold Me Tight",1963
"Honey Don't",1964
"Honey Pie",1968
"I Am the Walrus",1967
"I Call Your Name",1964
"I Don't Want to Spoil the Party",1964
"I Feel Fine",1964
"I Me Mine",1970
"I Need You",1965
"I Saw Her Standing There",1963
"I Should Have Known Better",1964
"I Wanna Be Your Man",1963
"I Want to Hold Your Hand",1963
"I Want to Tell You",1966
"I Want You (She's So Heavy)",1969
"I Will",1968
"If I Fell",1964
"If I Needed Someone",1965
"I'll Be Back",1964
"I'll Cry Instead",1964
"I'll Follow the Sun",1964
