1,"Health and Public Health Sector"
2,"Emergency Services Sector"
3,"Food and Agriculture Sector"
4,"Energy Sector"
5,"Water and Wastewater Sector"
6,"Transportation and Logistics Sector"
7,"Communications and Information Technology Sector"
8,"Government Operations and Other Community-Based Essential Functions"
9,"Critical Manufacturing Sector"
10,"Financial Services Sector"
11,"Chemical Sector"
12,"Defense Industrial Base Sector"
13,"Industrial, Commercial, Residential and Sheltering Facilities and Services"
