Country/geographic region, 2019 Total wealth (billions USD), Share of total
World,360_603,100.0
Asia-Pacific,141_219,39.2
North America,114_607,31.8
United States,105_990,29.4
Europe,90_752,25.2
China,63_827,17.7
Japan,24_992,6.9
Germany,14_660,4.1
United Kingdom,14_341,4.0
France,13_729,3.8
India,12_614,3.5
Italy,11_358,3.1
Latin America,9_906,2.7
Canada,8_573,2.4
Spain,7_772,2.2
South Korea,7_302,2.0
Australia,7_202,2.0
Africa,4_119,1.1
Taiwan,4_062,1.1
Switzerland,3_877,1.1
Netherlands,3_719,1.0
Brazil,3_535,1.0
Hong Kong,3_066,0.9
Russia,3_052,0.8
Mexico,2_701,0.7
Belgium,2_194,0.6
