name,start,end,house
egbert,827,839,saxon kings
aethelwulf,839,858,saxon kings
aethelbald,858,860,saxon kings
aethelbert,860,866,saxon kings
aethelred,866,871,saxon kings
alfred the great,871,899,saxon kings
edward the elder,899,924,saxon kings
athelstan,924,939,saxon kings
edmund,939,946,saxon kings
eadred,946,955,saxon kings
eadwig,955,959,saxon kings
edgar,959,975,saxon kings
edward the martyr,975,978,saxon kings
aethelred II the unready,978,1016,saxon kings
edmund II ironside,1016,1016,saxon kings
canute (cnute the great) the dane,1016,1035,saxon kings
harold harefoot,1035,1040,saxon kings
harthacanute,1040,1042,saxon kings
edward the confessor,1042,1066,saxon kings
harold II,1066,1066,saxon kings
william the conqueror,1066,1087,norman kings
william II,1087,1100,norman kings
henry I,1100,1135,norman kings
stephen,1135,1154,norman kings
henry II,1154,1189,plantagenet kings
richard the lionheart,1189,1199,plantagenet kings
john,1199,1216,plantagenet kings
henry III,1216,1272,plantagenet kings
edward longshanks,1272,1307,
edward II,1307,1327,
edward III,1327,1377,
richard II,1377,1399,
henry IV,1399,1413,lancaster
henry V,1413,1422,lancaster
henry VI,1422,1461,lancaster
edward IV,1461,1483,york
edward V,1483,1483,york
richard III,1483,1485,york
henry VII,1485,1509,tudor
henry VIII,1509,1547,tudor
edward VI,1547,1553,tudor
mary I,1553,1558,tudor
elizabeth I,1558,1603,tudor
james I,1603,1625,stuarts
charles I,1625,1649,stuarts
oliver cromwell,1653,1658,lord protector
richard cromwell,1658,1659,lord protector
charles II,1660,1685,
james II,1685,1688,
william III and mary II,1689,1702,
anne,1702,1714,
george I,1714,1727,hanover
george II,1727,1760,hanover
george III,1760,1820,hanover
george IV,1820,1830,hanover
william IV,1830,1837,hanover
victoria,1837,1901,hanover
edward VII,1901,1910,saxe-coburg and gotha
george V,1910,1936,windsor
edward VII,1936,1936,windsor
george VI,1936,1952,windsor
elizabeth II,1952,2020,windsor
