caecus,blind
caeruleus,blue
californicus,California
callosus,calloused
canadensis,from Canada
candidus,brightly white or shining white
canescens,turning grey- or white-haired
canis,dog
caprae,of a goat
cauda,tail
caulos,stem or stalk
cephalo,head
-ceps,head
ceros,horn
cest,girdle belt or stitched
chaetes,flowing hair or mane
chilensis,from Chile
chinsensis,from China
chloro-,pale green
chordatus,spined
chroma,color
chrysos,gold
chrysophyllus,gold-leaved
cilium,eyelash
cinereus,ash or ash-colored
cirrhus,orange
citri,citrus
cneme,shin or leg
-cola,dweller
compressus,slender or pressed together
concolor,having uniform color
conno-,beard
corax,crow or raven
cordatus,heart-shaped
conrdifolius,heart-shaped leaves
cornu,horn
coronatus,crowned
costatus,ribbed
crassus,thick or fat
cristatus,crested
crocos,yellow
crypto-,hidden
curvirostris,curved beak
cyano,blue-green
