macro-,long or large
macroura,long-tailed
maculatus,spotted
madagascariensis,from Madagascar
magnus,great
major,greater
malabaricus,from Malabar
marginatus,bordered
maritima,of the sea
mauro-,dark or black
maximus,largest
mega-,large or great
megacephalus,big-headed
mel,honey
melano,black
melanocephalus,black-headed
melanophyllus,black-leaved
melanops,black-eyed
mephitis,bad odor
micro-,small
microphyllus,small-leaved
minimus,smallest
minor,smaller
minuta,small
monile,necklace
mono-,single
monoica,monoicous
monospermus,having a single sperm cell
monspeliensis,from Montpellier
montanus,of the mountains
morpho-,shape
mus or mys,mouse
mulgere,to milk
muralis,growing on the wall

