abdomen,belly
accipiter,hawk
acer-,maple
acer,sharp
acerbus,bitter
acervus,heap
acetum,vinegar
acinus,berry
acus,chaff
acicula,needle
adeps,fat
aedes,building
aequus,even
aes,ore
aestas,summer
aetas,age
ager,field
ala,wing
alacer,quick
albus,dull or white
alga,seaweed
alius,other
allium,garlic
alter,other
alternus,alumnus
amarus,bitter
ambo,both
amplus,ample
anas,duck
anguis,snake
angulus,corner
anima,breath or soul
animus,mind or anger
annus,year
anser,goose
anserculus,gosling
antenna,antenna
anellus,ring
apis,bee
aqua,water
aquila,eagle
arbiter,arbiter
arbor,tree
arca,arcane
arcus,bow
arduus,steep
argentum,silver
arma,arms
armilla,shoulder
ars,art or skill
artus,tight
articulus,joint
arvus,plowed
asinus,donkey
asper,rough
audax,brave or bold
auris,ear
aurum,gold
avena,oat
avis,bird
avunculus,uncle
axis,axle
aceo,be sour
ago,act
agito,act
alo,nourish
ambulo,walk
amo,like or love
appello,call or address
apo,fasten
ardeo,burn
areo,be dry
audeo,be bold or dare
audio,hear
augueo,increase
