faba,bean
baenum,hay
falx,sickle
fames,hunger
fanum,temple
fascis,bundle
fatuus,foolish
fauces,throat
febris,fever
feles,cat
felix,happy
femina,woman
femur,thigh
fenestra,window
ferox,fierce
ferrum,iron
ferus,wild
feudum,fee
fibula,clasp
ficus,fig
fides,faith
filia,daughter
filum,thread
fimus,dung
finis,end
firmus,firm
fiscus,basket
fistula,pipe
flaccus,flabby
flamma,flame
flavus,yellow
floccus,tuft
flos,flower
focus,hearth
folium,leaf
foliolum,leaflet
follis,bellows
fons,fountain
foris,outdoors
formula,form
formica,ant
formus,warm
fornix,vault
fovea,shallow
frater,brother
fraus,fraud
frenum,bridle
frequens,often
fretum,strait
frigus,cold
frons,brow
frustum,piece
frutex,shrub
frux,fruit
fulvus,tawny
fumus,smoke
fundus,bottom
fungus,mushroom
funis,rope
fur,thief
furcilla,fork
furtum,theft
fuscus,dark
fustis,dark
fustis,cudgel
fusus,spindle
