macula,spot
magister,master
magnus,big
malleus,hammer
malus,bad
manus,hand
mare,sea
Mars,Mars
mater,mother
maturus,ripe
medius,middle
mel,honey
memor,mindful
menda,blemish
mendicus,beggar
mens,mind
merus,pure
meta,goal
miles,soldier
mille,thousand
milleni,a thousand each
millesiumus,thousandth
miser,wretched
missa,Mass
moles,mass
mollis,soft
mons,mountain
mora,delay
morbus,sickness
mors,death
mortuus,dead
mos,custom
mucro,point
mulier,woman
multa,penalty
multus,many
mulus,mule
mundus,world
muria,brine
murus,wall
mus,mouse
musca,fly
muscus,moss
mustus,new
mutulus,modillion
