pala,spade
palatum,roof of the mouth
palus,stake
palus,marsh
panis,bread
papaver,poppy
papilio,butterfly
par,equal
paries,wall
pars,piece
parvus,small
passer,sparrow
pater,father
paucus,few
pavo,peacock
pax,peace
pectus,chest
penna,feather
perca,perch
persona,person
pes,foot
pestis,pest
pila,ball
pileus,cap
pilus,hair
pinna,feather
pirus,pear
piscis,fish
pius,dutiful
planta,sole
planus,flat
platea,place
plebs,common people
plenus,full
pluma,feather
plumbum,lead
pluvia,rain
poculum,cup
pollex,thumb
pondus,weight
pons,bridge
populus,poplar
porca,pig
porta,gate
prandium,lunch
pravus,crooked
pretium,price
prex,prayer
prior,former
privus,own
prope,near
proprius,proper
prunus,plum
puer,boy
pulcher,beautiful
pulmo,lung
pulvinus,cushion
pulvis,dust
pumex,stone
pupa,doll
purus,pure
pus,pus
