sacer,sacred
saepes,hedge
saeta,bristle
sal,salt
sanguis,blood
sanus,sound
saxum,rock
sedecim,sixteen
sedeni,sixteen each
semen,seed
semis,half
senex,old man
seni,six each
septem,seven
septeni,seven each
septimus,seventh
sex,six
sexageni,sixty each
sexagesimus,sixtieth
sextus,sixth
sibilus,hiss
siccus,dry
sidus,constellation
signum,mark
silva,forest
similis,like
singulus,one each
sinister,left
sinus,curve
soccus,slipper
sol,sun
solium,seat
solum,bottom
solus,alone
somnium,dream
somnus,sleep
sonus,sound
sopor,deep sleep
soror,sister
sors,lot
spatium,space
spes,hope
spina,thorn
spuma,foam
squama,scale
squatina,angel shark
stella,star
stiria,drop
stria,furrow,strix,owl
stuppa,tow
suavis,sweet
sucus,juice
sulcus,furrow
superus,over
sura,calf
surdus,deaf
surus,branch
sus,sow
