vacca,cow
vacuus,empty
vadum,ford
vagina,sheath
vagus,wandering
valgus,bow-legged
valles,valley
vallum,rampart
vanus,empty
varius,varying
vas,vessel
vassus,servant
vastus,empty
velius,fleece
velox,quick
velum,sail
vexillum,flag
vena,vein
venter,belly
ventus,wind
venus,desire
veratrum,hellebore
verbum,word
vermis,worm
vernus,spring
verus,true
vespa,wasp
vesper,evening
vestigium,trace
vestis,clothing
vetus,old
via,way
viceni,twenty each
vicesimus,twentieth
vicis,change
vigesimus,twentieth
viginti,twenty
vilis,cheap
villa,country
villus,shaggy
vinum,wine
vir,man
virga,rod
viscus,internal organ
vita,life
vitrum,glass
viverra,ferret
vola,palm
vox,voice
vulgus,crowd
vulnus,wound
vulpes,fox
