Accomodation
air-conditioning	klima
balcony	balkon
entrance	giriş
exit	çıkış
luggage	bagaj
pull	çekiniz
push	itiniz
reception	resepsiyon
restaurant	restoran / lokanta
shampoo	şampuan
shower	duş
soap	sabun
swimming pool	havuz
toilet	tuvalet
toilet paper	tuvalet kağıdı
towel	havlu
Transportation
airport	havalimanı
avenue	cadde
bus / coach	otobüs
fare	ücret
ferry	vapur
map	harita
passenger	yolcu
plane	uçak
platform	peron
port	liman
quay	iskele
road	yol
sea bus	deniz otobüsü
sea	deniz
ship	gemi
station	istasyon
street	sokak
subway / underground	metro
taxi	taksi
ticket office	bilet gişesi
ticket	bilet
timetable	tarife
train	tren
