name,state,area km^2
acadia,maine,198.6
american samoa,american samoa,33.4
arches,utah,310.3
badlands,south dakota,982.4
big bend,texas,3242.2
biscayne,florida,700.0
black canyon of the gunnison,colorado,124.6
bryce canyon,utah,145.0
canyonlands,utah,1366.2
capitol reef,utah,979
carlsbad caverns,new mexico,189.3
channel islands,california,1009.9
congaree,south carolina,107.1
crater lake,oregon,741.5
cuyahoga valley,ohio,131.8
death valley,california and nevada,13793.3
denali,alaska,19185.8
dry tortugas,florida,261.8
everglades,florida,6106.5
gates of the arctic,alaska,30448.1
gateway arch,missouri,0.8
glacier,montana,4100.0
glacier bay,alaska,13044.6
grand canyon,arizona,4862.9
grand teton,wyoming,1254.7
great basin,nevada,312.3
great sand dunes,colorado,434.4
great smoky mountains,north carolina and tennessee,2114.2
guadalupe mountains,texas,349.5
haleakala,hawaii,134.6
hawai'i volcanoes,hawaii,1317.7
hot springs,arkansas,22.5
indiana dunes,indiana,62.1
isle royale,michigan,2314.0
joshua tree,california,3217.9
katmai,alaska,14870.3
kenai fjords,alaska,2710.0
kings canyon,california,1869.2
kobuk valley,alaska,7084.9
lake clark,alaska,10602.0
lessen volcanic,california,431.4
mammoth cave,kentucky,218.6
mesa verde,colorado,212.4
mount rainier,washington,956.6
north cascades,washington,2042.8
olympic,washington,3733.8
petrified forest,arizona,895.9
pinnacles,california,108.0
redwood,california,562.5
rocky mountain,colorado,1075.7
saguaro,arizona,371.2
sequoia,california,1635.2
shenandoah,virginia,806.2
theodore roosevelt,north dakota,285.1
virgin islands,u.s. virgin islands,60.9
voyageurs,minnesota,883.1
white sands,new mexico,592.2
wind cave,south dakota,137.5
wrangell-st.elias,alaska,33682.6
yellowstone,wyoming and montana and idaho,8983.2
yosemite,califonria,3082.7
zion,utah,595.9
