sample
Sample mean and covariance
sample space
sampling
sampling bias
sampling distribution
sampling error
scatter plot
Scale parameter
significance level
simple random sample
Simpson's paradox
skewness
spaghetti plot
spectrum bias
standard deviation
standard error
standard score
statistic
statistical dispersion
statistical graphics
statistical hypothesis testing
statistical independence
statistical inference
statistical interference
statistical model
statistical population
statistical dispersion
statistical parameter
statistical significance
statistics
Student's t-test
stem-and-leaf display
stratified sampling
survey methodology
survival function
survivorship bias
symmetric probability distribution
systematic sampling
